"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1","Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2"
804829533,"Attrited Customer",59,"M",0,"High School","Single","$60K - $80K","Blue",54,3,6,6,24621,471,24150,0.85,2864,51,0.759,0.019,0.99903,0.00096743
716702358,"Existing Customer",44,"F",2,"Unknown","Married","Less than $40K","Blue",33,5,3,2,2337,698,1639,0.836,4048,83,0.886,0.299,0.00019771,0.9998
720028683,"Existing Customer",49,"F",2,"High School","Married","$40K - $60K","Blue",39,5,3,4,2720,1926,794,0.602,3806,61,0.794,0.708,0.00050163,0.9995
757044033,"Existing Customer",44,"M",2,"Graduate","Unknown","$80K - $120K","Blue",37,3,1,3,1965,1021,944,0.516,3968,57,0.781,0.52,9.2637e-05,0.99991
719672283,"Existing Customer",47,"M",4,"Graduate","Married","$60K - $80K","Silver",39,4,2,4,33122,1587,31535,0.475,3145,63,0.75,0.048,0.00030946,0.99969
719054733,"Existing Customer",52,"F",0,"Post-Graduate","Single","Less than $40K","Blue",40,4,3,2,1438.3,797,641.3,0.87,4673,69,0.568,0.554,0.00018162,0.99982
793336383,"Existing Customer",47,"F",1,"High School","Married","Less than $40K","Blue",41,3,3,4,2709,2034,675,0.606,4915,92,0.84,0.751,0.00047086,0.99953
795599883,"Attrited Customer",57,"F",2,"Uneducated","Married","Unknown","Blue",51,3,6,2,2404,284,2120,0.866,2511,51,0.5,0.118,0.9932,0.0068
715650783,"Existing Customer",41,"M",2,"High School","Married","$60K - $80K","Blue",36,6,2,2,4499,0,4499,0.765,4906,75,0.667,0,0.00011065,0.99989
711819708,"Attrited Customer",33,"F",3,"Post-Graduate","Unknown","Unknown","Blue",25,3,2,4,4734,2517,2217,0.483,2275,55,0.897,0.532,0.9975,0.00250084
713041683,"Attrited Customer",55,"M",2,"Graduate","Married","$120K +","Blue",36,3,2,4,4697,0,4697,0.544,1867,34,0.478,0,0.99695,0.00305189
779544708,"Existing Customer",50,"M",2,"Unknown","Married","$120K +","Gold",35,4,5,3,34516,668,33848,0.894,3931,77,0.791,0.019,0.00042785,0.99957
712967508,"Existing Customer",47,"M",3,"Doctorate","Unknown","$60K - $80K","Blue",36,4,1,2,2572,1093,1479,0.615,5038,86,0.83,0.425,8.2704e-05,0.99992
710231433,"Existing Customer",56,"M",1,"Uneducated","Unknown","$60K - $80K","Blue",43,5,1,4,3110,2378,732,0.974,3395,75,0.829,0.765,0.00015252,0.99985
817960533,"Existing Customer",41,"M",4,"Unknown","Married","$60K - $80K","Blue",36,5,3,2,1734,857,877,0.752,4741,84,0.714,0.494,0.00020735,0.99979
713431008,"Existing Customer",46,"F",5,"High School","Married","Unknown","Blue",36,5,3,0,3562,0,3562,0.753,4198,77,0.75,0,6.6595e-05,0.99993
709663608,"Attrited Customer",43,"F",1,"Graduate","Married","Less than $40K","Blue",36,4,2,4,1536,0,1536,0.571,1973,36,0.333,0,0.99675,0.00325077
754851783,"Existing Customer",39,"M",4,"High School","Married","$60K - $80K","Blue",32,4,2,2,19198,2218,16980,0.802,4423,90,0.667,0.116,0.00011604,0.99988
808743558,"Existing Customer",42,"F",3,"High School","Married","Unknown","Blue",37,3,3,3,4540,2517,2023,0.89,4804,66,0.737,0.554,0.00030516,0.99969
778905033,"Existing Customer",45,"F",5,"Graduate","Divorced","Less than $40K","Blue",26,3,5,2,1438.3,1226,212.3,0.638,3889,60,0.818,0.852,0.00020741,0.99979
720844008,"Existing Customer",54,"F",4,"Graduate","Single","Less than $40K","Blue",45,6,2,2,1990,1747,243,0.924,5216,87,0.891,0.878,0.00011937,0.99988
714286383,"Existing Customer",59,"M",0,"High School","Single","$120K +","Blue",36,4,3,3,3422,1039,2383,0.475,3337,65,0.512,0.304,0.00025237,0.99975
718767183,"Existing Customer",45,"F",4,"Post-Graduate","Unknown","Less than $40K","Blue",36,6,3,1,2192,1464,728,0.66,4905,89,0.978,0.668,0.00013386,0.99987
712707408,"Existing Customer",43,"F",2,"Unknown","Married","Less than $40K","Blue",33,4,2,2,5152,1713,3439,0.746,3919,57,1.036,0.332,0.00012511,0.99987
789859833,"Existing Customer",41,"M",4,"Doctorate","Unknown","Less than $40K","Blue",31,6,2,1,2515,1767,748,0.665,4388,67,0.675,0.703,0.00010417,0.9999
812411058,"Attrited Customer",49,"F",0,"Uneducated","Single","Less than $40K","Blue",44,3,3,2,2094,0,2094,0.897,2690,46,0.484,0,0.99374,0.00626
712311258,"Existing Customer",48,"F",3,"Uneducated","Single","$40K - $60K","Blue",36,5,3,3,1906,1259,647,0.932,4634,54,0.862,0.661,0.00032275,0.99968
778397358,"Attrited Customer",42,"M",5,"Unknown","Married","$60K - $80K","Blue",22,6,2,4,5096,0,5096,0.808,2574,43,0.483,0,0.99731,0.00269029
715340733,"Existing Customer",39,"M",1,"High School","Unknown","$40K - $60K","Blue",28,5,2,4,2222,0,2222,0.843,4792,62,0.722,0,0.00029799,0.9997
797495958,"Existing Customer",42,"F",3,"Unknown","Unknown","$40K - $60K","Blue",36,3,2,2,3015,0,3015,0.927,4277,80,0.951,0,0.00012982,0.99987
720384633,"Existing Customer",48,"M",3,"Uneducated","Single","$40K - $60K","Blue",36,6,3,2,3786,0,3786,0.715,3403,70,0.489,0,0.00019191,0.99981
810868758,"Existing Customer",39,"M",3,"Uneducated","Married","$40K - $60K","Blue",34,5,1,2,12078,1687,10391,0.482,2384,52,1.167,0.14,5.8763e-05,0.99994
719105433,"Existing Customer",48,"F",3,"College","Single","Unknown","Blue",38,3,3,3,6448,1087,5361,0.868,4990,85,0.667,0.169,0.00030519,0.99969
715609533,"Attrited Customer",47,"F",3,"Unknown","Single","Less than $40K","Blue",35,1,3,3,5398,0,5398,0.621,1887,36,0.333,0,0.99711,0.00288892
712160058,"Attrited Customer",59,"F",2,"Uneducated","Married","Less than $40K","Blue",51,5,5,4,1438.3,0,1438.3,0.656,2146,44,0.63,0,0.99832,0.00168378
779130108,"Attrited Customer",33,"F",0,"Uneducated","Single","$40K - $60K","Blue",15,3,2,6,1438.3,0,1438.3,0.835,2527,49,0.69,0,0.99886,0.0011409
712335858,"Existing Customer",48,"F",4,"Graduate","Married","Less than $40K","Blue",36,4,3,2,2620,2081,539,0.99,4867,67,0.763,0.794,0.00018864,0.99981
789643383,"Existing Customer",49,"M",2,"Uneducated","Married","$60K - $80K","Blue",35,3,3,3,13435,0,13435,0.747,3575,56,1.154,0,0.00031104,0.99969
717733158,"Existing Customer",43,"F",3,"Doctorate","Married","Less than $40K","Blue",29,4,2,3,3186,2517,669,0.59,4197,84,0.909,0.79,0.00028744,0.99971
713205108,"Existing Customer",42,"F",4,"Graduate","Married","$40K - $60K","Blue",27,3,1,1,1950,1062,888,0.48,3873,76,0.854,0.545,3.4833e-05,0.99997
719749083,"Existing Customer",63,"M",0,"Doctorate","Single","Less than $40K","Blue",54,5,2,0,7098,2224,4874,0.864,3465,59,0.788,0.313,5.2139e-05,0.99995
811762383,"Existing Customer",42,"F",2,"Graduate","Married","Less than $40K","Blue",37,4,2,1,2250,1788,462,0.523,4908,71,1.152,0.795,6.864e-05,0.99993
708710283,"Existing Customer",45,"M",5,"Doctorate","Married","$120K +","Silver",36,6,1,4,34516,2038,32478,1.007,4067,75,1.206,0.059,0.00021333,0.99979
708542283,"Existing Customer",58,"F",1,"Doctorate","Married","Less than $40K","Blue",47,5,3,4,2495,2061,434,0.849,4399,70,0.707,0.826,0.00070078,0.9993
720667383,"Existing Customer",39,"F",2,"High School","Married","Less than $40K","Blue",32,5,3,1,3086,2213,873,0.695,4684,81,0.8,0.717,0.00010545,0.99989
822952158,"Existing Customer",53,"F",2,"Graduate","Married","Less than $40K","Blue",49,4,2,4,1520,0,1520,0.566,4256,73,0.622,0,0.00032656,0.99967
716922633,"Attrited Customer",38,"M",2,"Uneducated","Single","$120K +","Blue",30,6,3,4,4043,2517,1526,0.602,2600,47,0.621,0.623,0.99812,0.00188031
709081683,"Existing Customer",65,"M",1,"High School","Single","Less than $40K","Blue",54,3,1,3,4599,1438,3161,0.832,4208,69,0.865,0.313,8.453e-05,0.99992
710211783,"Attrited Customer",38,"F",4,"Unknown","Married","Less than $40K","Blue",26,3,2,2,1438.3,0,1438.3,0.777,2264,39,0.625,0,0.99244,0.00756
720364158,"Existing Customer",55,"F",3,"Graduate","Unknown","Unknown","Blue",36,4,3,3,7869,1251,6618,0.722,4314,83,0.729,0.159,0.0003139,0.99969
713064783,"Existing Customer",60,"F",1,"Unknown","Unknown","$40K - $60K","Blue",48,3,3,4,5362,2057,3305,0.763,4205,83,0.766,0.384,0.00053237,0.99947
709873683,"Existing Customer",60,"M",0,"Doctorate","Unknown","$40K - $60K","Silver",53,4,2,1,16541,1428,15113,0.846,4352,82,0.907,0.086,7.7018e-05,0.99992
758106108,"Existing Customer",45,"F",2,"Uneducated","Single","Less than $40K","Blue",38,3,2,1,7486,1758,5728,0.613,4604,70,0.707,0.235,7.0576e-05,0.99993
711445233,"Existing Customer",42,"F",5,"Uneducated","Single","Less than $40K","Blue",36,6,3,1,1438.3,0,1438.3,0.813,4653,78,0.95,0,0.00011515,0.99988
778912683,"Existing Customer",51,"F",2,"Graduate","Single","Unknown","Blue",32,3,3,1,8365,1504,6861,0.679,4778,88,0.956,0.18,0.00010848,0.99989
780496833,"Attrited Customer",56,"F",1,"College","Single","Less than $40K","Blue",43,3,2,2,2846,0,2846,0.747,2122,44,0.419,0,0.99047,0.00953
720057183,"Existing Customer",49,"F",4,"Doctorate","Single","Less than $40K","Blue",42,5,1,4,7789,957,6832,0.724,3412,70,0.842,0.123,0.00023984,0.99976
789081408,"Attrited Customer",44,"F",4,"Uneducated","Single","Less than $40K","Blue",32,6,3,4,1438.3,170,1268.3,0.889,2527,45,0.406,0.118,0.99821,0.00179304
720634683,"Attrited Customer",48,"F",2,"College","Married","Unknown","Blue",37,5,2,4,2220,0,2220,0.737,2456,45,0.452,0,0.99686,0.0031388
808732458,"Existing Customer",48,"M",3,"Unknown","Married","$120K +","Blue",43,5,3,0,6626,1558,5068,1.02,2838,49,1.333,0.235,7.5683e-05,0.99992
719947533,"Existing Customer",46,"F",2,"Graduate","Married","Unknown","Blue",36,6,2,1,5547,0,5547,0.85,4585,79,0.795,0,6.864e-05,0.99993
715452408,"Existing Customer",37,"F",2,"Graduate","Divorced","Less than $40K","Blue",36,4,3,3,1734,987,747,0.879,4727,67,0.914,0.569,0.00030251,0.9997
718103733,"Existing Customer",41,"F",4,"Unknown","Married","Less than $40K","Blue",31,4,3,4,2934,933,2001,0.898,4253,66,0.737,0.318,0.0005948,0.99941
788705358,"Existing Customer",44,"M",4,"High School","Married","$120K +","Blue",33,4,1,4,14527,2070,12457,0.525,3965,58,0.568,0.142,0.00016112,0.99984
772105608,"Existing Customer",48,"F",4,"Uneducated","Single","Less than $40K","Blue",37,6,3,4,2646,872,1774,0.865,4246,80,0.739,0.33,0.0005564,0.99944
718396533,"Existing Customer",47,"M",3,"College","Single","$80K - $120K","Blue",38,5,3,3,8185,1556,6629,0.806,4527,83,0.93,0.19,0.00030519,0.99969
712949733,"Existing Customer",46,"M",5,"High School","Single","$40K - $60K","Blue",37,3,2,3,6340,1985,4355,0.403,3536,61,0.419,0.313,0.00019213,0.99981
772036233,"Existing Customer",62,"M",1,"Graduate","Single","$80K - $120K","Blue",51,6,2,3,5711,0,5711,0.583,4320,72,0.674,0,0.00017969,0.99982
713285058,"Existing Customer",46,"F",3,"Doctorate","Single","Less than $40K","Blue",34,4,3,4,2258,1600,658,0.607,4275,76,0.551,0.709,0.00077466,0.99923
710289783,"Attrited Customer",43,"F",2,"Uneducated","Divorced","Less than $40K","Blue",25,5,2,4,2086,2007,79,1.051,2537,48,0.6,0.962,0.99703,0.00296843
780390108,"Existing Customer",44,"F",3,"College","Married","$40K - $60K","Blue",34,3,1,2,3256,1013,2243,0.988,5079,81,0.841,0.311,5.5564e-05,0.99994
720585183,"Existing Customer",50,"M",3,"High School","Married","$60K - $80K","Blue",35,3,3,2,14854,2136,12718,0.568,3659,68,0.581,0.144,0.00018145,0.99982
711831558,"Existing Customer",49,"M",4,"College","Divorced","$120K +","Blue",41,3,1,1,7184,1207,5977,0.657,3244,58,1,0.168,3.3866e-05,0.99997
710854008,"Existing Customer",48,"M",3,"Unknown","Unknown","$40K - $60K","Blue",37,3,2,4,6541,1119,5422,0.496,3902,63,0.432,0.171,0.00037246,0.99963
717017808,"Existing Customer",62,"M",0,"Uneducated","Single","$40K - $60K","Blue",52,6,1,2,9065,641,8424,0.788,4693,83,0.627,0.071,4.8595e-05,0.99995
823615983,"Attrited Customer",54,"M",2,"Uneducated","Single","$40K - $60K","Blue",50,2,1,3,3682,2517,1165,0.379,1642,35,0.25,0.684,0.98961,0.01039
807587433,"Attrited Customer",56,"F",2,"Doctorate","Married","Less than $40K","Blue",51,4,6,5,1438.3,0,1438.3,0.699,2229,40,0.6,0,0.99902,0.00097887
709987683,"Attrited Customer",46,"F",4,"Graduate","Married","Unknown","Blue",36,4,3,4,2286,0,2286,1.057,2798,40,0.481,0,0.99816,0.00184351
714435408,"Existing Customer",57,"M",3,"High School","Single","$80K - $120K","Blue",38,4,3,1,12663,1028,11635,0.791,3297,54,0.688,0.081,0.00010943,0.99989
718994583,"Existing Customer",48,"F",2,"College","Single","Less than $40K","Blue",35,3,3,1,1438.3,816,622.3,0.842,4777,69,0.917,0.567,0.00010546,0.99989
793616883,"Existing Customer",39,"F",5,"Graduate","Single","Less than $40K","Blue",33,5,2,2,1438.3,668,770.3,0.931,5205,78,0.773,0.464,0.00011751,0.99988
779978283,"Existing Customer",45,"F",3,"High School","Married","Unknown","Blue",34,4,2,1,5056,0,5056,0.905,4428,78,0.696,0,6.9242e-05,0.99993
713370033,"Attrited Customer",53,"F",0,"Graduate","Single","Less than $40K","Blue",40,4,1,4,1438.3,0,1438.3,0.503,2014,53,0.472,0,0.99268,0.00732
710482533,"Existing Customer",26,"M",0,"Unknown","Married","$120K +","Blue",17,4,2,1,30928,2005,28923,0.52,3863,72,0.756,0.065,6.4745e-05,0.99994
778830933,"Existing Customer",40,"M",3,"Graduate","Married","$80K - $120K","Blue",21,3,2,0,1804,1040,764,1.002,5308,78,0.773,0.576,4.3568e-05,0.99996
736145283,"Existing Customer",43,"M",2,"College","Married","$80K - $120K","Blue",24,6,1,4,1669,0,1669,0.698,3591,59,0.788,0,0.00015365,0.99985
778718658,"Existing Customer",33,"F",2,"High School","Divorced","Unknown","Blue",15,3,3,4,9725,0,9725,0.75,4062,65,0.711,0,0.00050163,0.9995
719482008,"Existing Customer",45,"M",1,"Uneducated","Single","$60K - $80K","Blue",35,5,3,2,21696,1036,20660,0.965,3354,76,0.854,0.048,0.0001736,0.99983
715004808,"Existing Customer",49,"F",2,"High School","Married","Less than $40K","Blue",39,5,3,1,2992,1845,1147,0.707,4339,84,0.75,0.617,0.00010545,0.99989
720014358,"Existing Customer",38,"F",1,"Doctorate","Single","Less than $40K","Blue",26,5,2,4,1934,985,949,0.72,4019,78,0.857,0.509,0.00044353,0.99956
718208358,"Existing Customer",43,"M",5,"Uneducated","Married","$120K +","Blue",31,4,3,4,34516,830,33686,0.54,3789,57,0.541,0.024,0.00054773,0.99945
713380308,"Existing Customer",42,"F",4,"Uneducated","Single","Less than $40K","Blue",36,6,2,1,1734,0,1734,0.593,4092,76,1.054,0,7.4017e-05,0.99993
716477133,"Existing Customer",42,"F",4,"Uneducated","Single","Less than $40K","Blue",32,3,3,4,1438.3,838,600.3,0.61,3910,75,0.63,0.583,0.0005564,0.99944
713949858,"Attrited Customer",39,"F",2,"Doctorate","Married","Less than $40K","Blue",36,4,3,4,1438.3,886,552.3,0.24,1674,42,0.312,0.616,0.99866,0.00133669
827619933,"Existing Customer",48,"M",2,"Uneducated","Single","$40K - $60K","Blue",44,3,1,2,9673,0,9673,0.655,3541,87,0.851,0,5.663e-05,0.99994
779135808,"Existing Customer",56,"F",2,"Doctorate","Single","$40K - $60K","Blue",38,5,1,4,3609,1026,2583,0.67,4318,81,0.588,0.284,0.00022869,0.99977
719751483,"Attrited Customer",39,"F",2,"Uneducated","Single","Less than $40K","Blue",36,4,3,1,1438.3,576,862.3,0.849,2567,48,0.6,0.4,0.99111,0.00889
708219858,"Existing Customer",39,"M",2,"Graduate","Single","$40K - $60K","Blue",26,6,3,2,6423,0,6423,1.051,4295,70,0.795,0,0.00017987,0.99982
779681433,"Attrited Customer",48,"F",3,"Graduate","Married","$40K - $60K","Blue",31,6,3,4,14899,0,14899,0.381,1519,26,0.368,0,0.99814,0.00186317
720169383,"Existing Customer",52,"F",2,"College","Married","$40K - $60K","Blue",41,3,1,1,3224,2111,1113,0.601,3707,74,0.682,0.655,3.2291e-05,0.99997
718056033,"Existing Customer",44,"F",3,"High School","Married","Less than $40K","Blue",34,5,3,2,4135,1606,2529,0.734,3334,56,0.6,0.388,0.00018145,0.99982
789226683,"Existing Customer",44,"M",1,"Unknown","Married","$60K - $80K","Blue",33,6,2,3,4969,1187,3782,0.714,3878,82,0.783,0.239,0.00019751,0.9998
822902508,"Existing Customer",41,"F",3,"College","Single","$40K - $60K","Blue",37,3,3,3,8376,1219,7157,0.644,4015,77,0.75,0.146,0.00030519,0.99969
780462183,"Existing Customer",44,"M",2,"Unknown","Single","$80K - $120K","Blue",31,5,5,2,3454,2065,1389,0.816,4026,67,0.718,0.598,0.00022083,0.99978
715502808,"Existing Customer",42,"M",3,"High School","Married","$80K - $120K","Blue",36,4,3,2,25944,1987,23957,0.566,4442,76,0.767,0.077,0.00018145,0.99982
788755158,"Existing Customer",49,"M",3,"High School","Married","$60K - $80K","Blue",29,4,3,1,1438.3,535,903.3,0.678,3016,80,0.739,0.372,0.00010943,0.99989
780038058,"Attrited Customer",38,"F",0,"High School","Single","Less than $40K","Blue",22,3,2,5,1556,0,1556,0.69,2283,46,0.586,0,0.99788,0.00211605
709536483,"Attrited Customer",57,"M",3,"Graduate","Married","$60K - $80K","Blue",49,5,0,3,8701,215,8486,0.527,1999,41,0.414,0.025,0.97266,0.02734
712563408,"Attrited Customer",33,"M",2,"Uneducated","Single","$40K - $60K","Blue",18,1,1,6,5600,2517,3083,0.628,2296,46,0.586,0.449,0.99798,0.00202158
771222558,"Existing Customer",45,"F",3,"Graduate","Unknown","Less than $40K","Blue",32,6,1,3,2900,2018,882,0.705,4467,79,0.756,0.696,9.6126e-05,0.9999
708145908,"Existing Customer",61,"F",0,"Graduate","Married","$40K - $60K","Blue",50,3,3,0,4906,2185,2721,0.66,3999,71,1.088,0.445,5.694e-05,0.99994
717755058,"Existing Customer",41,"F",4,"Doctorate","Single","Less than $40K","Blue",36,4,3,4,2687,1317,1370,0.58,4096,76,0.727,0.49,0.00078294,0.99922
789109983,"Existing Customer",40,"F",3,"High School","Divorced","$40K - $60K","Blue",28,4,1,4,4464,1418,3046,0.92,3870,73,0.46,0.318,0.00015942,0.99984
802600233,"Existing Customer",51,"F",2,"Graduate","Single","$40K - $60K","Blue",45,5,1,3,1438.3,869,569.3,0.791,4124,59,0.967,0.604,9.2637e-05,0.99991
720449208,"Existing Customer",34,"F",1,"College","Married","Less than $40K","Blue",16,6,1,4,2221,1814,407,0.82,4758,64,0.641,0.817,0.00014422,0.99986
719557983,"Existing Customer",42,"M",4,"Uneducated","Married","$60K - $80K","Blue",36,5,3,3,2966,2371,595,0.969,4416,83,0.844,0.799,0.0003262,0.99967
766111383,"Existing Customer",38,"F",2,"High School","Married","$40K - $60K","Blue",31,4,2,4,1593,1091,502,0.87,4136,67,0.718,0.685,0.00031746,0.99968
789367083,"Existing Customer",41,"F",2,"Uneducated","Single","Less than $40K","Blue",31,5,3,3,2450,1490,960,0.747,3778,64,0.684,0.608,0.00031104,0.99969
710538183,"Existing Customer",53,"F",3,"Graduate","Divorced","Less than $40K","Blue",42,3,2,4,1529,563,966,0.785,4220,83,0.844,0.368,0.00033886,0.99966
708534033,"Existing Customer",45,"F",3,"Graduate","Single","$40K - $60K","Blue",36,5,2,2,6274,883,5391,0.626,4726,82,0.708,0.141,0.00011811,0.99988
716739258,"Existing Customer",43,"F",4,"Unknown","Single","Less than $40K","Blue",33,5,2,4,1438.3,0,1438.3,0.679,3932,62,0.771,0,0.00037644,0.99962
788940558,"Existing Customer",41,"F",3,"Graduate","Married","Less than $40K","Blue",27,6,1,2,2134,1085,1049,0.656,4224,75,1.027,0.508,5.7151e-05,0.99994
714722808,"Existing Customer",50,"M",1,"College","Married","$80K - $120K","Blue",33,5,3,2,17158,1211,15947,0.778,4153,91,0.685,0.071,0.00016415,0.99984
713249883,"Existing Customer",51,"F",2,"Uneducated","Married","$40K - $60K","Blue",36,6,3,3,3359,873,2486,0.785,4572,81,0.688,0.26,0.00031104,0.99969
714207483,"Existing Customer",47,"M",3,"Graduate","Married","$80K - $120K","Blue",41,6,1,4,11997,1424,10573,0.749,4125,80,0.86,0.119,0.00016399,0.99984
720068808,"Existing Customer",41,"F",2,"Graduate","Married","Less than $40K","Blue",32,3,3,2,3302,1980,1322,0.625,3899,65,0.711,0.6,0.00017987,0.99982
778601733,"Attrited Customer",55,"F",3,"High School","Single","$40K - $60K","Blue",47,5,4,3,2687,1689,998,0.714,2370,34,0.789,0.629,0.9973,0.00270332
709779258,"Existing Customer",53,"F",3,"Post-Graduate","Married","Less than $40K","Blue",43,4,3,4,1438.3,0,1438.3,0.939,4075,71,0.614,0,0.00062998,0.99937
713696808,"Attrited Customer",46,"F",3,"High School","Married","Less than $40K","Blue",39,3,3,0,1801,316,1485,0.494,2252,42,0.4,0.175,0.98528,0.01472
720044658,"Attrited Customer",53,"M",1,"Post-Graduate","Single","$60K - $80K","Blue",46,6,2,4,4573,2076,2497,0.839,2720,46,0.484,0.454,0.99724,0.002764
716373483,"Attrited Customer",48,"F",5,"Graduate","Married","Less than $40K","Blue",40,4,3,2,2860,2517,343,0.38,1544,45,0.364,0.88,0.99464,0.00536
714305508,"Existing Customer",46,"F",3,"Uneducated","Married","$40K - $60K","Blue",36,6,3,2,13387,0,13387,0.746,3706,81,0.62,0,0.00019191,0.99981
712202433,"Existing Customer",46,"F",2,"High School","Single","Less than $40K","Blue",36,3,3,4,2283,1020,1263,0.944,3687,68,1.125,0.447,0.00050163,0.9995
716600733,"Attrited Customer",47,"F",4,"Unknown","Married","Less than $40K","Blue",36,3,3,3,2033,228,1805,0.904,2572,43,0.72,0.112,0.99714,0.00285845
778372158,"Existing Customer",49,"F",5,"High School","Married","$40K - $60K","Blue",33,6,3,2,2506,1549,957,0.752,4747,91,0.936,0.618,0.00018053,0.99982
714176133,"Existing Customer",47,"F",1,"Uneducated","Single","Less than $40K","Blue",36,5,2,3,1438.3,735,703.3,0.762,4220,87,0.673,0.511,0.00018475,0.99982
708969633,"Existing Customer",42,"M",4,"Uneducated","Unknown","$80K - $120K","Blue",36,6,5,1,2447,2195,252,0.717,4544,80,0.667,0.897,0.00013065,0.99987
715765758,"Existing Customer",54,"F",2,"Uneducated","Single","Less than $40K","Blue",41,5,2,4,1438.3,814,624.3,0.675,4217,72,0.5,0.566,0.00033577,0.99966
803097333,"Existing Customer",41,"M",2,"Graduate","Married","$80K - $120K","Blue",35,3,3,4,10873,1514,9359,0.879,5089,82,0.783,0.139,0.000516,0.99948
710411358,"Attrited Customer",39,"F",4,"College","Married","$40K - $60K","Blue",28,4,2,4,7596,2199,5397,0.633,2164,45,0.5,0.289,0.99701,0.00299329
715660308,"Attrited Customer",54,"F",3,"College","Married","Less than $40K","Blue",44,5,3,2,2921,2412,509,0.823,2612,33,0.375,0.826,0.99452,0.00548
711866358,"Existing Customer",42,"F",3,"High School","Single","$40K - $60K","Blue",30,4,2,3,10136,0,10136,0.428,4429,78,0.472,0,0.00019311,0.99981
710738883,"Existing Customer",52,"F",3,"High School","Married","Less than $40K","Blue",36,4,2,3,2187,1094,1093,0.843,4222,61,0.649,0.5,0.00019311,0.99981
717822108,"Existing Customer",60,"F",0,"Uneducated","Single","Less than $40K","Blue",48,3,2,3,3302,2517,785,0.785,4613,85,0.932,0.762,0.00016891,0.99983
714407058,"Existing Customer",40,"M",3,"Uneducated","Divorced","$80K - $120K","Blue",29,3,2,1,30997,2330,28667,0.65,3821,81,0.841,0.075,7.3235e-05,0.99993
710744433,"Existing Customer",48,"F",1,"Uneducated","Single","Less than $40K","Blue",38,5,2,0,2578,2424,154,0.517,4077,78,0.625,0.94,4.0521e-05,0.99996
778959258,"Attrited Customer",51,"F",1,"Unknown","Married","Less than $40K","Blue",32,5,3,3,1438.3,0,1438.3,0.905,2585,45,0.5,0,0.99681,0.00319278
713320008,"Existing Customer",48,"M",3,"Graduate","Single","$80K - $120K","Blue",37,3,3,2,3034,468,2566,0.553,4172,66,0.784,0.154,0.00018665,0.99981
